供应商注册地址,vendors,names,n
广州市番禺区大龙街茶东村东兴路XX号之X,"['V1407423', 'V1501031', 'V1511028']","['广州XXXXXXXXXXXXXX衣厂', '广州XXXXXXXXXXXXXX公司', '广州XXXXXXXXXXXXXX衣厂']",3
南宁市西乡塘区科德西路X号嘉士涌金广场XXXX号,"['V1407732', 'V1407730']","['南宁XXXXXXXXXXXXXX营部', '南宁XXXXXXXXXXXXXX公司']",2
安顺开发区西苑街新世纪小区XXX-X号商铺,"['V1408462', 'V1408254']","['广西XXXXXXXXXXXXXX公司', '广西XXXXXXXXXXXXXX备）']",2
南昌市东湖区青山南路XX号,"['V1407317', 'V1407192']","['南昌XXXXXXXXXXXXXX公司', '南昌XXXXXXXXXXXXXX中心']",2
广东省东莞市虎门镇小捷滘捷南路XX-XX号,"['V1407392', 'V1407246']","['东莞XXXXXXXXXXXXXX枫）', '广东XXXXXXXXXXXXXX公司']",2
广州市越秀区龟岗大马路江岭东街X号X楼XXX房,"['V1408436', 'V1407690']","['广州XXXXXXXXXXXXXX营部', '广州XXXXXXXXXXXXXX务部']",2
成都锦江区天涯石南街XX号,"['V1408027', 'V1408455']","['成都XXXXXXXXXXXXXX金店', '锦江XXXXXXXXXXXXXX金店']",2
武汉市新洲区阳逻街施岗,"['V1507087', 'V1510010']","['武汉XXXXXXXXXXXXXX公司', '武汉XXXXXXXXXXXXXX公司']",2
武汉市青山XX街工业X路X号,"['V1506106', 'V1509032']","['武汉XXXXXXXXXXXXXX修部', '武汉XXXXXXXXXXXXXX修部']",2
福建省厦门市集美区杏林瑶山路XX号,"['V1511014', 'V1408107']","['厦门XXXXXXXXXXXXXX公司', '厦门XXXXXXXXXXXXXX公司']",2
衡阳市蒸湘区解放西路XX号,"['V1407463', 'V1407408']","['衡阳XXXXXXXXXXXXXX超市', '衡阳XXXXXXXXXXXXXX食店']",2
贵阳市云岩区市东路XX号,"['V1407367', 'V1407259']","['贵阳XXXXXXXXXXXXXX公司', '贵阳XXXXXXXXXXXXXX工司']",2
郴州市北湖区东风路锦绣嘉园X栋XXXX号,"['V1407454', 'V1507211']","['郴州XXXXXXXXXXXXXX用）', '郴州XXXXXXXXXXXXXX公司']",2
重庆市X龙坡区科园X路XXX号附X-XX-XX号,"['V1407174', 'V1407173']","['重庆XXXXXXXXXXXXXX公司', '重庆XXXXXXXXXXXXXX公司']",2
重庆市江北区东环路XX号XX-X,"['V1407358', 'V1407105']","['四川XXXXXXXXXXXXXX公司', '重庆XXXXXXXXXXXXXX公司']",2
青岛市李沧区衡阳路X号,"['V1509015', 'V1408301']","['青岛XXXXXXXXXXXXXX公司', '青岛XXXXXXXXXXXXXX公司']",2
